ClarifyingQuestion,Text,lowercase,pnctRemoved,text_wo_stop,text_lemmatized
Where exactly do I need to place the tower of three yellow blocks?,Where exactly do I need to place the tower of three yellow blocks?,where exactly do i need to place the tower of three yellow blocks?,where exactly do i need to place the tower of three yellow blocks,exactly need place tower three yellow blocks,exactly need place tower three yellow block
How long should the row of red blocks be? Should it span across the entire east edge or should it be shorter?,How long should the row of red blocks be? Should it span across the entire east edge or should it be shorter?,how long should the row of red blocks be? should it span across the entire east edge or should it be shorter?,how long should the row of red blocks be should it span across the entire east edge or should it be shorter,long row red blocks span across entire east edge shorter,long row red block span across entire east edge shorter
Which two blocks should be destroyed?,Which two blocks should be destroyed?,which two blocks should be destroyed?,which two blocks should be destroyed,two blocks destroyed,two block destroy
Where do I place the 3 purple blocks?,Where do I place the 3 purple blocks?,where do i place the 3 purple blocks?,where do i place the 3 purple blocks,place 3 purple blocks,place 3 purple block
Where on the fourth row should the blue blocks go?,Where on the fourth row should the blue blocks go?,where on the fourth row should the blue blocks go?,where on the fourth row should the blue blocks go,fourth row blue blocks go,fourth row blue block go
Where is one space away from a yellow structure to the east that a column of yellow blocks should be built?,Where is one space away from a yellow structure to the east that a column of yellow blocks should be built?,where is one space away from a yellow structure to the east that a column of yellow blocks should be built?,where is one space away from a yellow structure to the east that a column of yellow blocks should be built,one space away yellow structure east column yellow blocks built,one space away yellow structure east column yellow block build
Did you mean to break the block under the top yellow block and place a red block? Or did you mean to only break the block under the top yellow block and leave it empty? (There is no place above the red column for a red block based on the build design received.),Did you mean to break the block under the top yellow block and place a red block? Or did you mean to only break the block under the top yellow block and leave it empty? (There is no place above the red column for a red block based on the build design received.),did you mean to break the block under the top yellow block and place a red block? or did you mean to only break the block under the top yellow block and leave it empty? (there is no place above the red column for a red block based on the build design received.),did you mean to break the block under the top yellow block and place a red block or did you mean to only break the block under the top yellow block and leave it empty there is no place above the red column for a red block based on the build design received,mean break block top yellow block place red block mean break block top yellow block leave empty place red column red block based build design received,mean break block top yellow block place red block mean break block top yellow block leave empty place red column red block base build design receive
What color should the cube that I build be?,What color should the cube that I build be?,what color should the cube that i build be?,what color should the cube that i build be,color cube build,color cube build
Destroy which 3 blocks?,Destroy which 3 blocks?,destroy which 3 blocks?,destroy which 3 blocks,destroy 3 blocks,destroy 3 block
Which side do you want the purple blocks placed? Do you want them horizontally or vertically placed? Which ones should touch the yellow structure?,Which side do you want the purple blocks placed? Do you want them horizontally or vertically placed? Which ones should touch the yellow structure?,which side do you want the purple blocks placed? do you want them horizontally or vertically placed? which ones should touch the yellow structure?,which side do you want the purple blocks placed do you want them horizontally or vertically placed which ones should touch the yellow structure,side want purple blocks placed want horizontally vertically placed ones touch yellow structure,side want purple block place want horizontally vertically place one touch yellow structure
Can you be more specific about the placement of the blocks?,Can you be more specific about the placement of the blocks?,can you be more specific about the placement of the blocks?,can you be more specific about the placement of the blocks,specific placement blocks,specific placement block
What color do i use to complete the shell around the yellow blocks?,What color do i use to complete the shell around the yellow blocks?,what color do i use to complete the shell around the yellow blocks?,what color do i use to complete the shell around the yellow blocks,color use complete shell around yellow blocks,color use complete shell around yellow block
Which block do you want destroyed? Where do you want the 3 blocks built? In which orientation do you want the 3 blocks built? What color do you want the 3 blocks to be?,Which block do you want destroyed? Where do you want the 3 blocks built? In which orientation do you want the 3 blocks built? What color do you want the 3 blocks to be?,which block do you want destroyed? where do you want the 3 blocks built? in which orientation do you want the 3 blocks built? what color do you want the 3 blocks to be?,which block do you want destroyed where do you want the 3 blocks built in which orientation do you want the 3 blocks built what color do you want the 3 blocks to be,block want destroyed want 3 blocks built orientation want 3 blocks built color want 3 blocks,block want destroy want 3 block build orientation want 3 block build color want 3 block
There are 4 bottom cubes which two should be broken?,There are 4 bottom cubes which two should be broken?,there are 4 bottom cubes which two should be broken?,there are 4 bottom cubes which two should be broken,4 bottom cubes two broken,4 bottom cube two broken
facing which direction to build those 3 blocks?,facing which direction to build those 3 blocks?,facing which direction to build those 3 blocks?,facing which direction to build those 3 blocks,facing direction build 3 blocks,face direction build 3 block
In which specific place to build the tower?,In which specific place to build the tower?,in which specific place to build the tower?,in which specific place to build the tower,specific place build tower,specific place build tower
Can you be more specific about the placement of the row of purple blocks?,Can you be more specific about the placement of the row of purple blocks?,can you be more specific about the placement of the row of purple blocks?,can you be more specific about the placement of the row of purple blocks,specific placement row purple blocks,specific placement row purple block
Where should I start placing the purple blocks? There are four purple blocks already on the map so which one should I place them to make a row with?,Where should I start placing the purple blocks? There are four purple blocks already on the map so which one should I place them to make a row with?,where should i start placing the purple blocks? there are four purple blocks already on the map so which one should i place them to make a row with?,where should i start placing the purple blocks there are four purple blocks already on the map so which one should i place them to make a row with,start placing purple blocks four purple blocks already map one place make row,start place purple block four purple block already map one place make row
Where do I need to place the blocks?,Where do I need to place the blocks?,where do i need to place the blocks?,where do i need to place the blocks,need place blocks,need place block
Can you give me a more specific location for the one blue block in the last instruction?,Can you give me a more specific location for the one blue block in the last instruction?,can you give me a more specific location for the one blue block in the last instruction?,can you give me a more specific location for the one blue block in the last instruction,give specific location one blue block last instruction,give specific location one blue block last instruction
Instructions ambiguous.  Which one block to destroy and where should we build the other 3 blocks?,Instructions ambiguous.  Which one block to destroy and where should we build the other 3 blocks?,instructions ambiguous.  which one block to destroy and where should we build the other 3 blocks?,instructions ambiguous  which one block to destroy and where should we build the other 3 blocks,instructions ambiguous one block destroy build 3 blocks,instruction ambiguous one block destroy build 3 block
How many blocks total do i place?,How many blocks total do i place?,how many blocks total do i place?,how many blocks total do i place,many blocks total place,many block total place
"What does ""further south"" mean? Is it one block south or all the way to the edge south?","What does ""further south"" mean? Is it one block south or all the way to the edge south?","what does ""further south"" mean? is it one block south or all the way to the edge south?",what does further south mean is it one block south or all the way to the edge south,south mean one block south way edge south,south mean one block south way edge south
The space is two-dimensional and includes nine spaces did you want this built in the diagonal direction? Please specify.,The space is two-dimensional and includes nine spaces did you want this built in the diagonal direction? Please specify.,the space is two-dimensional and includes nine spaces did you want this built in the diagonal direction? please specify.,the space is twodimensional and includes nine spaces did you want this built in the diagonal direction please specify,space twodimensional includes nine spaces want built diagonal direction please specify,space twodimensional include nine space want build diagonal direction please specify
What color blocks should be used? How long of a wall should be built?,What color blocks should be used? How long of a wall should be built?,what color blocks should be used? how long of a wall should be built?,what color blocks should be used how long of a wall should be built,color blocks used long wall built,color block use long wall built
Which block should I destroy? Also where should I build the 3 blocks and what color should they be?,Which block should I destroy? Also where should I build the 3 blocks and what color should they be?,which block should i destroy? also where should i build the 3 blocks and what color should they be?,which block should i destroy also where should i build the 3 blocks and what color should they be,block destroy also build 3 blocks color,block destroy also build 3 block color
Since the red block(s) are on the northwestern most corner it is physically impossible to place a blue block to its left while looking north. Please advise on where you would like the blue block placed?,Since the red block(s) are on the northwestern most corner it is physically impossible to place a blue block to its left while looking north. Please advise on where you would like the blue block placed?,since the red block(s) are on the northwestern most corner it is physically impossible to place a blue block to its left while looking north. please advise on where you would like the blue block placed?,since the red blocks are on the northwestern most corner it is physically impossible to place a blue block to its left while looking north please advise on where you would like the blue block placed,since red blocks northwestern corner physically impossible place blue block left looking north please advise would like blue block placed,since red block northwestern corner physically impossible place blue block leave look north please advise would like blue block place
tell exact slots to built the those blocks.,tell exact slots to built the those blocks.,tell exact slots to built the those blocks.,tell exact slots to built the those blocks,tell exact slots built blocks,tell exact slot build block
Which three blocks were destroyed?,Which three blocks were destroyed?,which three blocks were destroyed?,which three blocks were destroyed,three blocks destroyed,three block destroy
Which block do you want destroyed? Where do you want the 3 blocks built? How do you want them built? What color do you want them to be?,Which block do you want destroyed? Where do you want the 3 blocks built? How do you want them built? What color do you want them to be?,which block do you want destroyed? where do you want the 3 blocks built? how do you want them built? what color do you want them to be?,which block do you want destroyed where do you want the 3 blocks built how do you want them built what color do you want them to be,block want destroyed want 3 blocks built want built color want,block want destroy want 3 block build want build color want
What color should those blocks be?,What color should those blocks be?,what color should those blocks be?,what color should those blocks be,color blocks,color block
Where should the tower of blue blocks be built?,Where should the tower of blue blocks be built?,where should the tower of blue blocks be built?,where should the tower of blue blocks be built,tower blue blocks built,tower blue block build
What orange block?How do I place the three yellow blocks?,What orange block?How do I place the three yellow blocks?,what orange block?how do i place the three yellow blocks?,what orange blockhow do i place the three yellow blocks,orange blockhow place three yellow blocks,orange blockhow place three yellow block
On which side of the green blocks should the red tower be built?,On which side of the green blocks should the red tower be built?,on which side of the green blocks should the red tower be built?,on which side of the green blocks should the red tower be built,side green blocks red tower built,side green block red tower built
Which block should I destroy? Also where should I build the blocks and what color should they be?,Which block should I destroy? Also where should I build the blocks and what color should they be?,which block should i destroy? also where should i build the blocks and what color should they be?,which block should i destroy also where should i build the blocks and what color should they be,block destroy also build blocks color,block destroy also build block color
Where on the right side do I build the blue block?,Where on the right side do I build the blue block?,where on the right side do i build the blue block?,where on the right side do i build the blue block,right side build blue block,right side build blue block
Which one block to destroy and where do I build the other three blocks and how?,Which one block to destroy and where do I build the other three blocks and how?,which one block to destroy and where do i build the other three blocks and how?,which one block to destroy and where do i build the other three blocks and how,one block destroy build three blocks,one block destroy build three block
"Where should I place the cube of yellow blocks? I need more precise instructions because ""next"" is too vague.","Where should I place the cube of yellow blocks? I need more precise instructions because ""next"" is too vague.","where should i place the cube of yellow blocks? i need more precise instructions because ""next"" is too vague.",where should i place the cube of yellow blocks i need more precise instructions because next is too vague,place cube yellow blocks need precise instructions next vague,place cube yellow block need precise instruction next vague
Which block do you want destroyed? Where do you want the other 3 blocks built? What color do you want the 3 blocks built to be?,Which block do you want destroyed? Where do you want the other 3 blocks built? What color do you want the 3 blocks built to be?,which block do you want destroyed? where do you want the other 3 blocks built? what color do you want the 3 blocks built to be?,which block do you want destroyed where do you want the other 3 blocks built what color do you want the 3 blocks built to be,block want destroyed want 3 blocks built color want 3 blocks built,block want destroy want 3 block build color want 3 block build
On which side of the green tower should the tower of four yellow bricks be placed?,On which side of the green tower should the tower of four yellow bricks be placed?,on which side of the green tower should the tower of four yellow bricks be placed?,on which side of the green tower should the tower of four yellow bricks be placed,side green tower tower four yellow bricks placed,side green tower tower four yellow brick place
Where on the west and east sides do I build the purple block?,Where on the west and east sides do I build the purple block?,where on the west and east sides do i build the purple block?,where on the west and east sides do i build the purple block,west east sides build purple block,west east side build purple block
Where on the north side do I build the yellow block?,Where on the north side do I build the yellow block?,where on the north side do i build the yellow block?,where on the north side do i build the yellow block,north side build yellow block,north side build yellow block
On which side of the tower should I build the new tower?,On which side of the tower should I build the new tower?,on which side of the tower should i build the new tower?,on which side of the tower should i build the new tower,side tower build new tower,side tower build new tower
Following the instructions of removing one row on top would result in a three-by-two red rectangle did you mean remove two rows on top or did you mean three-by-two red square?,Following the instructions of removing one row on top would result in a three-by-two red rectangle did you mean remove two rows on top or did you mean three-by-two red square?,following the instructions of removing one row on top would result in a three-by-two red rectangle did you mean remove two rows on top or did you mean three-by-two red square?,following the instructions of removing one row on top would result in a threebytwo red rectangle did you mean remove two rows on top or did you mean threebytwo red square,following instructions removing one row top would result threebytwo red rectangle mean remove two rows top mean threebytwo red square,follow instruction remove one row top would result threebytwo red rectangle mean remove two row top mean threebytwo red square
There aren't any purple blocks on this map; should the blue tower be destroyed instead?,There aren't any purple blocks on this map; should the blue tower be destroyed instead?,there aren't any purple blocks on this map; should the blue tower be destroyed instead?,there arent any purple blocks on this map should the blue tower be destroyed instead,arent purple blocks map blue tower destroyed instead,arent purple block map blue tower destroy instead
What and where and how do I build another three blocks?,What and where and how do I build another three blocks?,what and where and how do i build another three blocks?,what and where and how do i build another three blocks,build another three blocks,build another three block
What do you mean by arranging blocks? If I am supposed to build purple and green blocks where should I place them?,What do you mean by arranging blocks? If I am supposed to build purple and green blocks where should I place them?,what do you mean by arranging blocks? if i am supposed to build purple and green blocks where should i place them?,what do you mean by arranging blocks if i am supposed to build purple and green blocks where should i place them,mean arranging blocks supposed build purple green blocks place,mean arrange block suppose build purple green block place
On which side to mirror the blocks?,On which side to mirror the blocks?,on which side to mirror the blocks?,on which side to mirror the blocks,side mirror blocks,side mirror block
The middle is hard to readily determine.,The middle is hard to readily determine.,the middle is hard to readily determine.,the middle is hard to readily determine,middle hard readily determine,middle hard readily determine
Which row of blocks are the middle?,Which row of blocks are the middle?,which row of blocks are the middle?,which row of blocks are the middle,row blocks middle,row block middle
What is the color of those blocks to built?,What is the color of those blocks to built?,what is the color of those blocks to built?,what is the color of those blocks to built,color blocks built,color block build
Where should the 3 blocks be placed?,Where should the 3 blocks be placed?,where should the 3 blocks be placed?,where should the 3 blocks be placed,3 blocks placed,3 block place
What do you mean by fillet? What kind of shape do I build with that?,What do you mean by fillet? What kind of shape do I build with that?,what do you mean by fillet? what kind of shape do i build with that?,what do you mean by fillet what kind of shape do i build with that,mean fillet kind shape build,mean fillet kind shape build
Destroy which one block and build what kind of blocks where?,Destroy which one block and build what kind of blocks where?,destroy which one block and build what kind of blocks where?,destroy which one block and build what kind of blocks where,destroy one block build kind blocks,destroy one block build kind block
Did you mean one red block?,Did you mean one red block?,did you mean one red block?,did you mean one red block,mean one red block,mean one red block
How exactly do I need to place five orange blocks?,How exactly do I need to place five orange blocks?,how exactly do i need to place five orange blocks?,how exactly do i need to place five orange blocks,exactly need place five orange blocks,exactly need place five orange block
How many blocks should be in the bottom of the pile?,How many blocks should be in the bottom of the pile?,how many blocks should be in the bottom of the pile?,how many blocks should be in the bottom of the pile,many blocks bottom pile,many block bottom pile
Should the purple column go on top of the orange column or next to it?,Should the purple column go on top of the orange column or next to it?,should the purple column go on top of the orange column or next to it?,should the purple column go on top of the orange column or next to it,purple column go top orange column next,purple column go top orange column next
The instructions don't say what color block to place on the first steps. Needs more clarification.,The instructions don't say what color block to place on the first steps. Needs more clarification.,the instructions don't say what color block to place on the first steps. needs more clarification.,the instructions dont say what color block to place on the first steps needs more clarification,instructions dont say color block place first steps needs clarification,instruction dont say color block place first step need clarification
Did you mean in the same pattern as the other structures on the map or in a different design?,Did you mean in the same pattern as the other structures on the map or in a different design?,did you mean in the same pattern as the other structures on the map or in a different design?,did you mean in the same pattern as the other structures on the map or in a different design,mean pattern structures map different design,mean pattern structure map different design
There is only space for one blue box under the green blocks - what is the positioning of the remaining two blocks?,There is only space for one blue box under the green blocks - what is the positioning of the remaining two blocks?,there is only space for one blue box under the green blocks - what is the positioning of the remaining two blocks?,there is only space for one blue box under the green blocks  what is the positioning of the remaining two blocks,space one blue box green blocks positioning remaining two blocks,space one blue box green block position remain two block
Should the line of blocks travel North or Eest?,Should the line of blocks travel North or Eest?,should the line of blocks travel north or eest?,should the line of blocks travel north or eest,line blocks travel north eest,line block travel north eest
What color do I make the 11 block wall along the northern border?,What color do I make the 11 block wall along the northern border?,what color do i make the 11 block wall along the northern border?,what color do i make the 11 block wall along the northern border,color make 11 block wall along northern border,color make 11 block wall along northern border
Where would you like me to add the green and purple boxes? Doesn't specify exact location.,Where would you like me to add the green and purple boxes? Doesn't specify exact location.,where would you like me to add the green and purple boxes? doesn't specify exact location.,where would you like me to add the green and purple boxes doesnt specify exact location,would like add green purple boxes doesnt specify exact location,would like add green purple box doesnt specify exact location
What should I build or destroy there?,What should I build or destroy there?,what should i build or destroy there?,what should i build or destroy there,build destroy,build destroy
Where on the south side of the map should the cube be?,Where on the south side of the map should the cube be?,where on the south side of the map should the cube be?,where on the south side of the map should the cube be,south side map cube,south side map cube
Where underneath the tower do I place the block?,Where underneath the tower do I place the block?,where underneath the tower do i place the block?,where underneath the tower do i place the block,underneath tower place block,underneath tower place block
Should the north corner be in the east or the west?,Should the north corner be in the east or the west?,should the north corner be in the east or the west?,should the north corner be in the east or the west,north corner east west,north corner east west
On which square in the corner do I place the blocks and how exactly do they need to be stacked?,On which square in the corner do I place the blocks and how exactly do they need to be stacked?,on which square in the corner do i place the blocks and how exactly do they need to be stacked?,on which square in the corner do i place the blocks and how exactly do they need to be stacked,square corner place blocks exactly need stacked,square corner place block exactly need stacked
As the fourth row from the west is not under the green pillar should the instructions read fifth row or should the new stack be slightly left of the green pillar?,As the fourth row from the west is not under the green pillar should the instructions read fifth row or should the new stack be slightly left of the green pillar?,as the fourth row from the west is not under the green pillar should the instructions read fifth row or should the new stack be slightly left of the green pillar?,as the fourth row from the west is not under the green pillar should the instructions read fifth row or should the new stack be slightly left of the green pillar,fourth row west green pillar instructions read fifth row new stack slightly left green pillar,fourth row west green pillar instruction read fifth row new stack slightly leave green pillar
Where to the left and right do I place the purple block?,Where to the left and right do I place the purple block?,where to the left and right do i place the purple block?,where to the left and right do i place the purple block,left right place purple block,left right place purple block
which,which,which,which,,
How many of each block do I need to place?,How many of each block do I need to place?,how many of each block do i need to place?,how many of each block do i need to place,many block need place,many block need place
Which blue box do you want me to destroy? Also which color three blocks to add and where?,Which blue box do you want me to destroy? Also which color three blocks to add and where?,which blue box do you want me to destroy? also which color three blocks to add and where?,which blue box do you want me to destroy also which color three blocks to add and where,blue box want destroy also color three blocks add,blue box want destroy also color three block add
Where would you like the purple blocks placed and arranged?,Where would you like the purple blocks placed and arranged?,where would you like the purple blocks placed and arranged?,where would you like the purple blocks placed and arranged,would like purple blocks placed arranged,would like purple block place arrange
Where do I place the purple or green blocks?,Where do I place the purple or green blocks?,where do i place the purple or green blocks?,where do i place the purple or green blocks,place purple green blocks,place purple green block
How many purple and green blocks and where should they be placed?,How many purple and green blocks and where should they be placed?,how many purple and green blocks and where should they be placed?,how many purple and green blocks and where should they be placed,many purple green blocks placed,many purple green block place
How many purple and green blocks should be placed and it which direction?,How many purple and green blocks should be placed and it which direction?,how many purple and green blocks should be placed and it which direction?,how many purple and green blocks should be placed and it which direction,many purple green blocks placed direction,many purple green block place direction
I see no blue blocks only a green tower. Where would the three blocks be build and what color?,I see no blue blocks only a green tower. Where would the three blocks be build and what color?,i see no blue blocks only a green tower. where would the three blocks be build and what color?,i see no blue blocks only a green tower where would the three blocks be build and what color,see blue blocks green tower would three blocks build color,see blue block green tower would three block build color
Where in the southeast corner do I create it?,Where in the southeast corner do I create it?,where in the southeast corner do i create it?,where in the southeast corner do i create it,southeast corner create,southeast corner create
Do you want the line of blue blocks to be at the base of the purple column?,Do you want the line of blue blocks to be at the base of the purple column?,do you want the line of blue blocks to be at the base of the purple column?,do you want the line of blue blocks to be at the base of the purple column,want line blue blocks base purple column,want line blue block base purple column
Where in the corner do I place the column of blocks?,Where in the corner do I place the column of blocks?,where in the corner do i place the column of blocks?,where in the corner do i place the column of blocks,corner place column blocks,corner place column block
The board is empty and there aren't any blocks to destroy so what color should the 3 blocks be how should they be arranged and where are they on the board?,The board is empty and there aren't any blocks to destroy so what color should the 3 blocks be how should they be arranged and where are they on the board?,the board is empty and there aren't any blocks to destroy so what color should the 3 blocks be how should they be arranged and where are they on the board?,the board is empty and there arent any blocks to destroy so what color should the 3 blocks be how should they be arranged and where are they on the board,board empty arent blocks destroy color 3 blocks arranged board,board empty arent block destroy color 3 block arrange board
Which red box to destroy? Also which color of the three blocks and where to add?,Which red box to destroy? Also which color of the three blocks and where to add?,which red box to destroy? also which color of the three blocks and where to add?,which red box to destroy also which color of the three blocks and where to add,red box destroy also color three blocks add,red box destroy also color three block add
where to start building? which block and place to start with? how many blocks to build in total?,where to start building? which block and place to start with? how many blocks to build in total?,where to start building? which block and place to start with? how many blocks to build in total?,where to start building which block and place to start with how many blocks to build in total,start building block place start many blocks build total,start building block place start many block build total
Destroy which blue block? Build what color blocks where?,Destroy which blue block? Build what color blocks where?,destroy which blue block? build what color blocks where?,destroy which blue block build what color blocks where,destroy blue block build color blocks,destroy blue block build color block
I don't see a purple block do you mean yellow instead?,I don't see a purple block do you mean yellow instead?,i don't see a purple block do you mean yellow instead?,i dont see a purple block do you mean yellow instead,dont see purple block mean yellow instead,dont see purple block mean yellow instead
Which red block should be destroyed and what color should the new blocks be?,Which red block should be destroyed and what color should the new blocks be?,which red block should be destroyed and what color should the new blocks be?,which red block should be destroyed and what color should the new blocks be,red block destroyed color new blocks,red block destroy color new block
What do you mean when you say tan square?,What do you mean when you say tan square?,what do you mean when you say tan square?,what do you mean when you say tan square,mean say tan square,mean say tan square
Should the vertical stack go north or west?,Should the vertical stack go north or west?,should the vertical stack go north or west?,should the vertical stack go north or west,vertical stack go north west,vertical stack go north west
What color blocks do I build?,What color blocks do I build?,what color blocks do i build?,what color blocks do i build,color blocks build,color block build
Where should the other 3 blocks be built?,Where should the other 3 blocks be built?,where should the other 3 blocks be built?,where should the other 3 blocks be built,3 blocks built,3 block build
Am I putting down purple and green blocks? If so where?,Am I putting down purple and green blocks? If so where?,am i putting down purple and green blocks? if so where?,am i putting down purple and green blocks if so where,putting purple green blocks,put purple green block
What color are the three blocks that should be built?,What color are the three blocks that should be built?,what color are the three blocks that should be built?,what color are the three blocks that should be built,color three blocks built,color three block build
What should I do with a green block?,What should I do with a green block?,what should i do with a green block?,what should i do with a green block,green block,green block
Face north and place three green blocks horizontally next to the blue block on the north side of the blue block,Face north and place three green blocks horizontally next to the blue block on the north side of the blue block,face north and place three green blocks horizontally next to the blue block on the north side of the blue block,face north and place three green blocks horizontally next to the blue block on the north side of the blue block,face north place three green blocks horizontally next blue block north side blue block,face north place three green block horizontally next blue block north side blue block
Arrange the purple and green blocks one by one at which square?,Arrange the purple and green blocks one by one at which square?,arrange the purple and green blocks one by one at which square?,arrange the purple and green blocks one by one at which square,arrange purple green blocks one one square,arrange purple green block one one square
Where do you place the purple blocks?,Where do you place the purple blocks?,where do you place the purple blocks?,where do you place the purple blocks,place purple blocks,place purple block
Where specifically should the pile go?,Where specifically should the pile go?,where specifically should the pile go?,where specifically should the pile go,specifically pile go,specifically pile go
Where on the green structure should two blue blocks be placed in a vertical row?,Where on the green structure should two blue blocks be placed in a vertical row?,where on the green structure should two blue blocks be placed in a vertical row?,where on the green structure should two blue blocks be placed in a vertical row,green structure two blue blocks placed vertical row,green structure two blue block place vertical row
On which square next to the blue blocks do I build the vertical stack?,On which square next to the blue blocks do I build the vertical stack?,on which square next to the blue blocks do i build the vertical stack?,on which square next to the blue blocks do i build the vertical stack,square next blue blocks build vertical stack,square next blue block build vertical stack
**Instructions do not state what I should do at all.**  What should I build or remove from the grid?,**Instructions do not state what I should do at all.**  What should I build or remove from the grid?,**instructions do not state what i should do at all.**  what should i build or remove from the grid?,instructions do not state what i should do at all  what should i build or remove from the grid,instructions state build remove grid,instruction state build remove grid
On which spaces of the board should the eight green blocks be arranged?,On which spaces of the board should the eight green blocks be arranged?,on which spaces of the board should the eight green blocks be arranged?,on which spaces of the board should the eight green blocks be arranged,spaces board eight green blocks arranged,space board eight green block arrange
Should I make one column or two?,Should I make one column or two?,should i make one column or two?,should i make one column or two,make one column two,make one column two
Where do I start building blocks? What color should they be?,Where do I start building blocks? What color should they be?,where do i start building blocks? what color should they be?,where do i start building blocks what color should they be,start building blocks color,start building block color
With which color and in which corner should I start the row with?,With which color and in which corner should I start the row with?,with which color and in which corner should i start the row with?,with which color and in which corner should i start the row with,color corner start row,color corner start row
How many purple and green blocks and where are they on the board?,How many purple and green blocks and where are they on the board?,how many purple and green blocks and where are they on the board?,how many purple and green blocks and where are they on the board,many purple green blocks board,many purple green block board
"Should I destroy only the blue blocks on the east side of the structure or does ""middle"" refer to other blue blocks?","Should I destroy only the blue blocks on the east side of the structure or does ""middle"" refer to other blue blocks?","should i destroy only the blue blocks on the east side of the structure or does ""middle"" refer to other blue blocks?",should i destroy only the blue blocks on the east side of the structure or does middle refer to other blue blocks,destroy blue blocks east side structure middle refer blue blocks,destroy blue block east side structure middle refer blue block
What should I do after?,What should I do after?,what should i do after?,what should i do after,,
Where exactly would you like me to place the green and purple boxes and how many exactly?,Where exactly would you like me to place the green and purple boxes and how many exactly?,where exactly would you like me to place the green and purple boxes and how many exactly?,where exactly would you like me to place the green and purple boxes and how many exactly,exactly would like place green purple boxes many exactly,exactly would like place green purple box many exactly
Where under the purple blocks do I place the blue blocks and with what alignment?,Where under the purple blocks do I place the blue blocks and with what alignment?,where under the purple blocks do i place the blue blocks and with what alignment?,where under the purple blocks do i place the blue blocks and with what alignment,purple blocks place blue blocks alignment,purple block place blue block alignment
Can you be more specific about the placement and number of blocks to be placed?,Can you be more specific about the placement and number of blocks to be placed?,can you be more specific about the placement and number of blocks to be placed?,can you be more specific about the placement and number of blocks to be placed,specific placement number blocks placed,specific placement number block place
I am facing north but I don't understand the rest of the instructions. What does arranged mean? Does that mean I will be building blocks? Where should I build the purple and green blocks then?,I am facing north but I don't understand the rest of the instructions. What does arranged mean? Does that mean I will be building blocks? Where should I build the purple and green blocks then?,i am facing north but i don't understand the rest of the instructions. what does arranged mean? does that mean i will be building blocks? where should i build the purple and green blocks then?,i am facing north but i dont understand the rest of the instructions what does arranged mean does that mean i will be building blocks where should i build the purple and green blocks then,facing north dont understand rest instructions arranged mean mean building blocks build purple green blocks,face north dont understand rest instruction arrange mean mean building block build purple green block
Do you mean replace them with purple ones?,Do you mean replace them with purple ones?,do you mean replace them with purple ones?,do you mean replace them with purple ones,mean replace purple ones,mean replace purple one
Am I supposed to put a yellow block on the east and west ends of the yellow row?,Am I supposed to put a yellow block on the east and west ends of the yellow row?,am i supposed to put a yellow block on the east and west ends of the yellow row?,am i supposed to put a yellow block on the east and west ends of the yellow row,supposed put yellow block east west ends yellow row,suppose put yellow block east west end yellow row
Do you mean to make a checkered pattern with them?,Do you mean to make a checkered pattern with them?,do you mean to make a checkered pattern with them?,do you mean to make a checkered pattern with them,mean make checkered pattern,mean make checker pattern
What style/pattern do I need to build the green blocks?,What style/pattern do I need to build the green blocks?,what style/pattern do i need to build the green blocks?,what stylepattern do i need to build the green blocks,stylepattern need build green blocks,stylepattern need build green block
Which three of the four stacked red blocks on the east side need to be destroyed?,Which three of the four stacked red blocks on the east side need to be destroyed?,which three of the four stacked red blocks on the east side need to be destroyed?,which three of the four stacked red blocks on the east side need to be destroyed,three four stacked red blocks east side need destroyed,three four stack red block east side need destroy
Can you please clarify on what actions need to be taken as no instructions were given?,Can you please clarify on what actions need to be taken as no instructions were given?,can you please clarify on what actions need to be taken as no instructions were given?,can you please clarify on what actions need to be taken as no instructions were given,please clarify actions need taken instructions given,please clarify action need take instruction give
Does it start from the top or the bottom block?,Does it start from the top or the bottom block?,does it start from the top or the bottom block?,does it start from the top or the bottom block,start top bottom block,start top bottom block
What is supposed to be done with the purple or green blocks?,What is supposed to be done with the purple or green blocks?,what is supposed to be done with the purple or green blocks?,what is supposed to be done with the purple or green blocks,supposed done purple green blocks,suppose do purple green block
